Name,Professionalism
silyoli14 6.txt,1
201grip 1.txt,0
thoughtsfreeing 38.txt,1
Grindpay365x 27.txt,0
JambaaJuicee 40.txt,1
thuggersexx 29.txt,-1
201grip 35.txt,1
gauravity_ 13.txt,1
Grindpay365x 7.txt,0
em44n_ 39.txt,1
Iolpeegirl 7.txt,0
Grindpay365x 14.txt,0
AddieShepherd19 14.txt,1
thuggersexx 3.txt,-1
silyoli14 20.txt,1
isathehair 14.txt,1
immaculatecap 14.txt,-1
dremo 8.txt,-1
hawtiiccee 22.txt,-1
chydxll 40.txt,1
47jessyka 22.txt,-1
ninagrewal97 1.txt,1
Domhausen 24.txt,0
isathehair 9.txt,1
viahmona 27.txt,1
mihu 31.txt,0
gauravity_ 34.txt,1
ninagrewal97 5.txt,1
ninagrewal97 8.txt,1
1similac 40.txt,0
yarkonnaaa 33.txt,-1
ninagrewal97 10.txt,1
zionthemessiah 42.txt,0
47jessyka 37.txt,-1
dashxwty 30.txt,-1
dremo 17.txt,-1
scaryclit 31.txt,1
Grindpay365x 16.txt,1
isathehair 38.txt,1
eternallife333 16.txt,0
hawtiiccee 17.txt,1
Domhausen 38.txt,-1
AddieShepherd19 27.txt,1
chydxll 23.txt,-1
dashxwty 11.txt,0
AddieShepherd19 1.txt,1
NotTaRealAubrey 10.txt,-1
ninagrewal97 36.txt,1
Cellk8 1.txt,-1
oppmiles 9.txt,-1
5iberia 11.txt,1
gauravity_ 23.txt,0
em44n_ 26.txt,1
tyler02020202 30.txt,0
viahmona 39.txt,0
Domhausen 17.txt,1
Grindpay365x 10.txt,0
cigugly 41.txt,0
immaculatecap 32.txt,-1
dremo 11.txt,1
etheralbri 27.txt,0
hawtiiccee 42.txt,-1
1047lilm 19.txt,0
thoughtsfreeing 39.txt,0
immaculatecap 24.txt,0
user174023 14.txt,-1
jujusaiditt 16.txt,-1
chydxll 15.txt,1
zionthemessiah 17.txt,0
NotTaRealAubrey 30.txt,0
ninagrewal97 38.txt,1
cigugly 32.txt,-1
immaculatecap 2.txt,0
Domhausen 19.txt,-1
Domhausen 30.txt,0
eternallife333 40.txt,-1
eternallife333 2.txt,-1
BeerAndSmoking 37.txt,0
ninagrewal97 22.txt,1
silyoli14 21.txt,0
Grindpay365x 6.txt,0
em44n_ 16.txt,0
zionthemessiah 8.txt,0
yarkonnaaa 4.txt,0
bamfartgera 4.txt,0
immaculatecap 41.txt,-1
em44n_ 14.txt,-1
BeerAndSmoking 18.txt,-1
gauravity_ 3.txt,1
JambaaJuicee 11.txt,0
201grip 14.txt,0
mihu 15.txt,0
thuggersexx 1.txt,-1
gauravity_ 1.txt,0
user174023 38.txt,-1
chydxll 3.txt,0
gauravity_ 30.txt,1
AddieShepherd19 16.txt,1
gauravity_ 25.txt,1
etheralbri 13.txt,0
ninagrewal97 41.txt,1
thuggersexx 2.txt,0
ninagrewal97 6.txt,0
BeerAndSmoking 16.txt,0
etheralbri 3.txt,0
yarkonnaaa 39.txt,0
viahmona 32.txt,0
NotTaRealAubrey 17.txt,0
thoughtsfreeing 18.txt,-1
ily2key 29.txt,-1
oppmiles 13.txt,1
scaryclit 22.txt,1
gauravity_ 36.txt,1
viahmona 5.txt,0
tyler02020202 1.txt,1
Grindpay365x 20.txt,0
sknnytweetz 6.txt,0
jujusaiditt 19.txt,0
ninagrewal97 24.txt,1
BeerAndSmoking 29.txt,0
dashxwty 36.txt,0
cigugly 7.txt,-1
ftlegos 14.txt,0
ftlegos 30.txt,0
mihu 3.txt,-1
viahmona 37.txt,1
viahmona 17.txt,0
viahmona 28.txt,0
ftlegos 26.txt,0
etheralbri 32.txt,0
yarkonnaaa 5.txt,1
thuggersexx 22.txt,0
isathehair 32.txt,-1
dashxwty 31.txt,0
dyIanbonito 12.txt,0
thoughtsfreeing 41.txt,0
Cellk8 3.txt,-1
etheralbri 5.txt,1
chydxll 4.txt,1
silyoli14 36.txt,1
hawtiiccee 27.txt,-1
scaryclit 13.txt,1
gauravity_ 4.txt,1
jujusaiditt 40.txt,-1
tyler02020202 27.txt,-1
1similac 23.txt,0
Fly_Jitt 10.txt,0
dremo 18.txt,0
ninagrewal97 4.txt,0
ninagrewal97 31.txt,1
201grip 15.txt,-1
Grindpay365x 9.txt,0
oppmiles 7.txt,1
em44n_ 4.txt,0
ftlegos 11.txt,0
sknnytweetz 14.txt,-1
silyoli14 41.txt,1
chydxll 31.txt,-1
1047lilm 24.txt,-1
5iberia 25.txt,-1
sknnytweetz 15.txt,0
dashxwty 15.txt,0
em44n_ 13.txt,-1
AddieShepherd19 32.txt,-1
AddieShepherd19 25.txt,-1
sknnytweetz 7.txt,0
jujusaiditt 22.txt,0
yarkonnaaa 37.txt,0
juuheartattack 37.txt,0
thoughtsfreeing 13.txt,0
Iolpeegirl 33.txt,0
BeerAndSmoking 24.txt,-1
Grindpay365x 25.txt,0
sknnytweetz 22.txt,-1
bspencxr 31.txt,-1
NotTaRealAubrey 12.txt,1
silyoli14 15.txt,1
dashxwty 39.txt,0
isathehair 21.txt,0
viahmona 40.txt,0
thuggersexx 38.txt,1
BeerAndSmoking 9.txt,-1
201grip 6.txt,0
yamakobaaaaaa 41.txt,0
Cellk8 2.txt,-1
etheralbri 28.txt,0
1similac 35.txt,1
oppmiles 20.txt,-1
